HS Code,Commodity Name,Year,Month,Country,Nominal Value,Annual Inflation Rate,CPI,Real Value,Category Type
2504,Natural Graphite,2021,,Argentina,5750,4.7,124.2543,4627.606449032347,Ore / Raw
2504,Natural Graphite,2015,,Brazil,9941921,0.12,108.6937,9146731.59529945,Ore / Raw
2504,Natural Graphite,2016,,Brazil,7426485,1.26,110.0632,6747473.269903111,Ore / Raw
2504,Natural Graphite,2017,,Brazil,7601671,2.13,112.4076,6762595.233774229,Ore / Raw
2504,Natural Graphite,2018,,Brazil,6469010,2.44,115.1503,5617883.757141753,Ore / Raw
2504,Natural Graphite,2019,,Brazil,5006893,1.81,117.2345,4270835.803453762,Ore / Raw
2504,Natural Graphite,2020,,Brazil,5464157,1.23,118.6765,4604245.153842589,Ore / Raw
2504,Natural Graphite,2021,,Brazil,5956447,4.7,124.2543,4793755.226177284,Ore / Raw
2504,Natural Graphite,2022,,Brazil,4590114,8.0,134.1947,3420488.2905211607,Ore / Raw
2504,Natural Graphite,2023,,Brazil,4801681,4.12,139.7235,3436559.3475685907,Ore / Raw
2504,Natural Graphite,2024,,Brazil,4474336,2.9,143.7755,3112029.5182419815,Ore / Raw
2504,Natural Graphite,2025,,Brazil,5713293,2.8,147.8012,3865525.4490491287,Ore / Raw
2504,Natural Graphite,2023,,Colombia,14875,4.12,139.7235,10646.02590115478,Ore / Raw
2504,Natural Graphite,2024,,Colombia,14876,2.9,143.7755,10346.68632694722,Ore / Raw
2504,Natural Graphite,2025,,Colombia,61267,2.8,147.8012,41452.30214639665,Ore / Raw
2603,Copper Ores And Concentrates,2025,,Chile,30000,2.8,147.8012,20297.53479674049,Ore / Raw
2603,Copper Ores And Concentrates,2019,,Colombia,125000,1.81,117.2345,106623.90337315381,Ore / Raw
2603,Copper Ores And Concentrates,2019,,Peru,4150,1.81,117.2345,3539.9135919887067,Ore / Raw
2603,Copper Ores And Concentrates,2021,,Peru,5268578,4.7,124.2543,4240157.483483469,Ore / Raw
2603,Copper Ores And Concentrates,2025,,Peru,15140,2.8,147.8012,10243.4892274217,Ore / Raw
7401,Copper Mattes; Cement Copper (precipitated Copper),2019,,Brazil,69775,1.81,117.2345,59517.462862894456,Compound
7402,Unrefnd Cppr; Cppr Anods F Elctroltc Refining,2022,,Brazil,8240,8.0,134.1947,6140.331920709237,Compound
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2015,,Bolivia,8659567,0.12,108.6937,7966944.726327284,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2016,,Bolivia,8684794,1.26,110.0632,7890733.68755406,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2017,,Bolivia,9479566,2.13,112.4076,8433207.3632032,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2018,,Bolivia,9638446,2.44,115.1503,8370317.749932044,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2019,,Bolivia,9108173,1.81,117.2345,7769191.662863748,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2020,,Bolivia,6775720,1.23,118.6765,5709403.293828179,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2021,,Bolivia,6543859,4.7,124.2543,5266505.0626014555,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2024,,Bolivia,2019146,2.9,143.7755,1404374.1805801406,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2025,,Bolivia,3642642,2.8,147.8012,2464555.0915689454,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2016,,Brazil,4175589,1.26,110.0632,3793810.283546181,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2017,,Brazil,21114433,2.13,112.4076,18783812.660353925,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2018,,Brazil,2815538,2.44,115.1503,2445098.2759054904,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2019,,Brazil,363370,1.81,117.2345,309951.4221496232,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2020,,Brazil,40217,1.23,118.6765,33887.92220869338,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2021,,Brazil,49041633,4.7,124.2543,39468761.24206567,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2022,,Brazil,318980,8.0,134.1947,237699.4024354166,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2023,,Brazil,73947,4.12,139.7235,52923.81023950875,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2024,,Brazil,45312,2.9,143.7755,31515.800675358456,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2025,,Brazil,91079,2.8,147.8012,61622.63905841089,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2015,,Chile,1915675948,0.12,108.6937,1762453525.8253236,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2016,,Chile,1668638735,1.26,110.0632,1516073251.5500185,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2017,,Chile,3002728546,2.13,112.4076,2671286057.1705112,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2018,,Chile,2992780255,2.44,115.1503,2599020805.8511353,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2019,,Chile,2558402873,1.81,117.2345,2182295205.762809,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2020,,Chile,2503743427,1.23,118.6765,2109721323.9352357,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2021,,Chile,5651456655,4.7,124.2543,4548298654.453005,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2022,,Chile,4226131709,8.0,134.1947,3149253814.792983,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2023,,Chile,4584313629,4.12,139.7235,3280989689.6370335,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2024,,Chile,6044245096,2.9,143.7755,4203946497.143116,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2025,,Chile,8883318659,2.8,147.8012,6010315653.052885,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2024,,Colombia,6913,2.9,143.7755,4808.190547068172,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2025,,Colombia,2569,2.8,147.8012,1738.1455630942103,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2023,,Ecuador,3710,4.12,139.7235,2655.2441071115454,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2015,,Peru,71717888,0.12,108.6937,65981641.99029014,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2016,,Peru,142656414,1.26,110.0632,129613180.42724545,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2017,,Peru,118033075,2.13,112.4076,105004532.61167394,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2018,,Peru,122529348,2.44,115.1503,106408188.25482868,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2019,,Peru,59471104,1.81,117.2345,50728329.97112624,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2020,,Peru,99747531,1.23,118.6765,84049943.33334738,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2021,,Peru,263715331,4.7,124.2543,212238394.1642261,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2022,,Peru,466952533,8.0,134.1947,347966449.49465215,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2023,,Peru,672778669,4.12,139.7235,481507168.8012396,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2024,,Peru,578269129,2.9,143.7755,402202829.4111306,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2025,,Peru,883668659,2.8,147.8012,597876511.8280501,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2015,,Venezuela,692655,0.12,108.6937,637254.0450826497,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2016,,Venezuela,643939,1.26,110.0632,585062.945653043,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",2017,,Venezuela,190220,2.13,112.4076,169223.43329098745,Refined / Articles
7404,Copper Waste And Scrap,2024,,Argentina,2957,2.9,143.7755,2056.6786413540553,Refined / Articles
7404,Copper Waste And Scrap,2016,,Bolivia,234394,1.26,110.0632,212963.09756576223,Refined / Articles
7404,Copper Waste And Scrap,2017,,Bolivia,138771,2.13,112.4076,123453.39638956796,Refined / Articles
7404,Copper Waste And Scrap,2018,,Bolivia,333369,2.44,115.1503,289507.71296297095,Refined / Articles
7404,Copper Waste And Scrap,2019,,Bolivia,998218,1.81,117.2345,851471.1966187428,Refined / Articles
7404,Copper Waste And Scrap,2020,,Bolivia,317594,1.23,118.6765,267613.2174440601,Refined / Articles
7404,Copper Waste And Scrap,2021,,Bolivia,2432025,4.7,124.2543,1957296.4476883295,Refined / Articles
7404,Copper Waste And Scrap,2022,,Bolivia,758962,8.0,134.1947,565567.7906802578,Refined / Articles
7404,Copper Waste And Scrap,2023,,Bolivia,509428,4.12,139.7235,364597.22237132624,Refined / Articles
7404,Copper Waste And Scrap,2024,,Bolivia,5459828,2.9,143.7755,3797467.5796641293,Refined / Articles
7404,Copper Waste And Scrap,2025,,Bolivia,548644,2.8,147.8012,371204.0227007629,Refined / Articles
7404,Copper Waste And Scrap,2015,,Brazil,2943479,0.12,108.6937,2708049.3165657255,Refined / Articles
7404,Copper Waste And Scrap,2016,,Brazil,1177406,1.26,110.0632,1069754.4683418255,Refined / Articles
7404,Copper Waste And Scrap,2017,,Brazil,737333,2.13,112.4076,655945.8613118686,Refined / Articles
7404,Copper Waste And Scrap,2018,,Brazil,2061372,2.44,115.1503,1790157.7329802876,Refined / Articles
7404,Copper Waste And Scrap,2019,,Brazil,1477380,1.81,117.2345,1260192.17892344,Refined / Articles
7404,Copper Waste And Scrap,2020,,Brazil,491951,1.23,118.6765,414531.09924879816,Refined / Articles
7404,Copper Waste And Scrap,2021,,Brazil,483986,4.7,124.2543,389512.47562458605,Refined / Articles
7404,Copper Waste And Scrap,2022,,Brazil,892500,8.0,134.1947,665078.4270913829,Refined / Articles
7404,Copper Waste And Scrap,2023,,Brazil,1877407,4.12,139.7235,1343658.725983818,Refined / Articles
7404,Copper Waste And Scrap,2024,,Brazil,269439,2.9,143.7755,187402.582498409,Refined / Articles
7404,Copper Waste And Scrap,2025,,Brazil,68726,2.8,147.8012,46498.94588135956,Refined / Articles
7404,Copper Waste And Scrap,2015,,Chile,1660019,0.12,108.6937,1527244.9093185712,Refined / Articles
7404,Copper Waste And Scrap,2016,,Chile,485550,1.26,110.0632,441155.6269488803,Refined / Articles
7404,Copper Waste And Scrap,2017,,Chile,1051701,2.13,112.4076,935613.7841213584,Refined / Articles
7404,Copper Waste And Scrap,2018,,Chile,1643281,2.44,115.1503,1427074.875184867,Refined / Articles
7404,Copper Waste And Scrap,2019,,Chile,7295643,1.81,117.2345,6223119.474216208,Refined / Articles
7404,Copper Waste And Scrap,2020,,Chile,757570,1.23,118.6765,638348.7885133114,Refined / Articles
7404,Copper Waste And Scrap,2021,,Chile,704887,4.7,124.2543,567293.8481807068,Refined / Articles
7404,Copper Waste And Scrap,2022,,Chile,285433,8.0,134.1947,212700.6506218204,Refined / Articles
7404,Copper Waste And Scrap,2023,,Chile,123800,4.12,139.7235,88603.5634664176,Refined / Articles
7404,Copper Waste And Scrap,2024,,Chile,779236,2.9,143.7755,541981.0746615384,Refined / Articles
7404,Copper Waste And Scrap,2025,,Chile,253900,2.8,147.8012,171784.802829747,Refined / Articles
7404,Copper Waste And Scrap,2015,,Colombia,5920437,0.12,108.6937,5446899.866321598,Refined / Articles
7404,Copper Waste And Scrap,2016,,Colombia,4750477,1.26,110.0632,4316135.638433191,Refined / Articles
7404,Copper Waste And Scrap,2017,,Colombia,7521142,2.13,112.4076,6690955.059978151,Refined / Articles
7404,Copper Waste And Scrap,2018,,Colombia,5853310,2.44,115.1503,5083191.272623693,Refined / Articles
7404,Copper Waste And Scrap,2019,,Colombia,6129147,1.81,117.2345,5228108.619902845,Refined / Articles
7404,Copper Waste And Scrap,2020,,Colombia,3737576,1.23,118.6765,3149381.722581977,Refined / Articles
7404,Copper Waste And Scrap,2021,,Colombia,3806393,4.7,124.2543,3063389.3555394057,Refined / Articles
7404,Copper Waste And Scrap,2022,,Colombia,1644870,8.0,134.1947,1225733.9522350733,Refined / Articles
7404,Copper Waste And Scrap,2023,,Colombia,1468751,4.12,139.7235,1051183.9454350914,Refined / Articles
7404,Copper Waste And Scrap,2024,,Colombia,2478468,2.9,143.7755,1723845.8569088615,Refined / Articles
7404,Copper Waste And Scrap,2025,,Colombia,1726970,2.8,147.8012,1168441.1222642306,Refined / Articles
7404,Copper Waste And Scrap,2015,,Ecuador,1104305,0.12,108.6937,1015978.8469800917,Refined / Articles
7404,Copper Waste And Scrap,2016,,Ecuador,778312,1.26,110.0632,707150.0737757944,Refined / Articles
7404,Copper Waste And Scrap,2017,,Ecuador,1154180,2.13,112.4076,1026781.1073272625,Refined / Articles
7404,Copper Waste And Scrap,2018,,Ecuador,1003538,2.44,115.1503,871502.722962945,Refined / Articles
7404,Copper Waste And Scrap,2019,,Ecuador,1322557,1.81,117.2345,1128129.5181879054,Refined / Articles
7404,Copper Waste And Scrap,2020,,Ecuador,497349,1.23,118.6765,419079.5987411156,Refined / Articles
7404,Copper Waste And Scrap,2021,,Ecuador,1924527,4.7,124.2543,1548861.4880933696,Refined / Articles
7404,Copper Waste And Scrap,2022,,Ecuador,535515,8.0,134.1947,399058.2340435203,Refined / Articles
7404,Copper Waste And Scrap,2023,,Ecuador,741171,4.12,139.7235,530455.5067687253,Refined / Articles
7404,Copper Waste And Scrap,2024,,Ecuador,3341767,2.9,143.7755,2324295.1685092384,Refined / Articles
7404,Copper Waste And Scrap,2025,,Ecuador,1401557,2.8,147.8012,948271.7325705069,Refined / Articles
7404,Copper Waste And Scrap,2015,,Guyana,37337,0.12,108.6937,34350.6569377986,Refined / Articles
7404,Copper Waste And Scrap,2016,,Guyana,59619,1.26,110.0632,54167.96894874945,Refined / Articles
7404,Copper Waste And Scrap,2017,,Guyana,453558,2.13,112.4076,403494.06979599246,Refined / Articles
7404,Copper Waste And Scrap,2018,,Guyana,478164,2.44,115.1503,415252.06621259346,Refined / Articles
7404,Copper Waste And Scrap,2019,,Guyana,394585,1.81,117.2345,336577.54329996713,Refined / Articles
7404,Copper Waste And Scrap,2020,,Guyana,190801,1.23,118.6765,160774.03698289045,Refined / Articles
7404,Copper Waste And Scrap,2021,,Guyana,69591,4.7,124.2543,56006.914851236535,Refined / Articles
7404,Copper Waste And Scrap,2022,,Guyana,307422,8.0,134.1947,229086.54365634406,Refined / Articles
7404,Copper Waste And Scrap,2023,,Guyana,304986,4.12,139.7235,218278.2423858549,Refined / Articles
7404,Copper Waste And Scrap,2024,,Guyana,623603,2.9,143.7755,433733.8419967241,Refined / Articles
7404,Copper Waste And Scrap,2025,,Guyana,232066,2.8,147.8012,157012.25700467927,Refined / Articles
7404,Copper Waste And Scrap,2015,,Paraguay,119432,0.12,108.6937,109879.41343426528,Refined / Articles
7404,Copper Waste And Scrap,2016,,Paraguay,21914,1.26,110.0632,19910.378764200934,Refined / Articles
7404,Copper Waste And Scrap,2018,,Paraguay,165789,2.44,115.1503,143976.1772222912,Refined / Articles
7404,Copper Waste And Scrap,2019,,Paraguay,195467,1.81,117.2345,166731.63616512204,Refined / Articles
7404,Copper Waste And Scrap,2020,,Paraguay,60875,1.23,118.6765,51294.90674227838,Refined / Articles
7404,Copper Waste And Scrap,2021,,Paraguay,344973,4.7,124.2543,277634.65731165843,Refined / Articles
7404,Copper Waste And Scrap,2024,,Paraguay,60531,2.9,143.7755,42101.05337835723,Refined / Articles
7404,Copper Waste And Scrap,2015,,Peru,1084992,0.12,108.6937,998210.5678617987,Refined / Articles
7404,Copper Waste And Scrap,2016,,Peru,1023856,1.26,110.0632,930243.7145203847,Refined / Articles
7404,Copper Waste And Scrap,2017,,Peru,773732,2.13,112.4076,688327.123788783,Refined / Articles
7404,Copper Waste And Scrap,2018,,Peru,754918,2.44,115.1503,655593.6024482785,Refined / Articles
7404,Copper Waste And Scrap,2019,,Peru,1352842,1.81,117.2345,1153962.3574971533,Refined / Articles
7404,Copper Waste And Scrap,2020,,Peru,3609125,1.23,118.6765,3041145.4668784468,Refined / Articles
7404,Copper Waste And Scrap,2021,,Peru,2361171,4.7,124.2543,1900273.069020549,Refined / Articles
7404,Copper Waste And Scrap,2022,,Peru,1497899,8.0,134.1947,1116213.2334585492,Refined / Articles
7404,Copper Waste And Scrap,2023,,Peru,489676,4.12,139.7235,350460.73137303314,Refined / Articles
7404,Copper Waste And Scrap,2024,,Peru,1459479,2.9,143.7755,1015109.6675024604,Refined / Articles
7404,Copper Waste And Scrap,2025,,Peru,266243,2.8,147.8012,180135.88522961925,Refined / Articles
7404,Copper Waste And Scrap,2015,,Suriname,1128260,0.12,108.6937,1038017.8428004567,Refined / Articles
7404,Copper Waste And Scrap,2016,,Suriname,893940,1.26,110.0632,812206.0779624798,Refined / Articles
7404,Copper Waste And Scrap,2017,,Suriname,1089084,2.13,112.4076,968870.4322483533,Refined / Articles
7404,Copper Waste And Scrap,2018,,Suriname,890514,2.44,115.1503,773349.2661330452,Refined / Articles
7404,Copper Waste And Scrap,2019,,Suriname,986794,1.81,117.2345,841726.6248416635,Refined / Articles
7404,Copper Waste And Scrap,2020,,Suriname,366041,1.23,118.6765,308435.95825626806,Refined / Articles
7404,Copper Waste And Scrap,2021,,Suriname,2127336,4.7,124.2543,1712082.3987580307,Refined / Articles
7404,Copper Waste And Scrap,2022,,Suriname,2866075,8.0,134.1947,2135758.7147629526,Refined / Articles
7404,Copper Waste And Scrap,2023,,Suriname,2144719,4.12,139.7235,1534973.7159461365,Refined / Articles
7404,Copper Waste And Scrap,2024,,Suriname,2225341,2.9,143.7755,1547788.7400843678,Refined / Articles
7404,Copper Waste And Scrap,2025,,Suriname,3608102,2.8,147.8012,2441185.863172965,Refined / Articles
7404,Copper Waste And Scrap,2015,,Uruguay,66900,0.12,108.6937,61549.10542193337,Refined / Articles
7404,Copper Waste And Scrap,2016,,Uruguay,33472,1.26,110.0632,30411.61805217366,Refined / Articles
7404,Copper Waste And Scrap,2017,,Uruguay,160273,2.13,112.4076,142581.99623513,Refined / Articles
7404,Copper Waste And Scrap,2018,,Uruguay,99074,2.44,115.1503,86038.85530476256,Refined / Articles
7404,Copper Waste And Scrap,2019,,Uruguay,94670,1.81,117.2345,80752.67945869177,Refined / Articles
7404,Copper Waste And Scrap,2021,,Uruguay,4128163,4.7,124.2543,3322350.212427256,Refined / Articles
7404,Copper Waste And Scrap,2022,,Uruguay,618704,8.0,134.1947,461049.50493573886,Refined / Articles
7404,Copper Waste And Scrap,2023,,Uruguay,432005,4.12,139.7235,309185.6416422434,Refined / Articles
7404,Copper Waste And Scrap,2024,,Uruguay,621553,2.9,143.7755,432308.00797076,Refined / Articles
7404,Copper Waste And Scrap,2025,,Uruguay,469267,2.8,147.8012,317498.7753820673,Refined / Articles
7404,Copper Waste And Scrap,2016,,Venezuela,3009652,1.26,110.0632,2734476.1918606763,Refined / Articles
7404,Copper Waste And Scrap,2017,,Venezuela,12017056,2.13,112.4076,10690608.108348545,Refined / Articles
7404,Copper Waste And Scrap,2018,,Venezuela,15651469,2.44,115.1503,13592208.617780413,Refined / Articles
7404,Copper Waste And Scrap,2019,,Venezuela,2348343,1.81,117.2345,2003115.9769521772,Refined / Articles
7404,Copper Waste And Scrap,2020,,Venezuela,674183,1.23,118.6765,568084.6671413464,Refined / Articles
7404,Copper Waste And Scrap,2021,,Venezuela,3588018,4.7,124.2543,2887640.910616373,Refined / Articles
7404,Copper Waste And Scrap,2022,,Venezuela,88379,8.0,134.1947,65858.78577917011,Refined / Articles
7404,Copper Waste And Scrap,2023,,Venezuela,608497,4.12,139.7235,435500.8284218475,Refined / Articles
7404,Copper Waste And Scrap,2024,,Venezuela,1454908,2.9,143.7755,1011930.4053889571,Refined / Articles
7404,Copper Waste And Scrap,2025,,Venezuela,508839,2.8,147.8012,344272.5769479544,Refined / Articles
7408,Copper Wire,2021,,Argentina,3418,4.7,124.2543,2750.8102335291414,Advanced Product
7408,Copper Wire,2015,,Brazil,59904,0.12,108.6937,55112.66982355003,Advanced Product
7408,Copper Wire,2016,,Brazil,335299,1.26,110.0632,304642.2419119197,Advanced Product
7408,Copper Wire,2017,,Brazil,54933,2.13,112.4076,48869.47145922518,Advanced Product
7408,Copper Wire,2018,,Brazil,995323,2.44,115.1503,864368.5687314754,Advanced Product
7408,Copper Wire,2019,,Brazil,547460,1.81,117.2345,466978.5771253343,Advanced Product
7408,Copper Wire,2020,,Brazil,1475917,1.23,118.6765,1243647.2258619019,Advanced Product
7408,Copper Wire,2021,,Brazil,1112116,4.7,124.2543,895032.2041168796,Advanced Product
7408,Copper Wire,2022,,Brazil,1101040,8.0,134.1947,820479.4973273907,Advanced Product
7408,Copper Wire,2023,,Brazil,372637,4.12,139.7235,266696.01033469674,Advanced Product
7408,Copper Wire,2024,,Brazil,1317677,2.9,143.7755,916482.2935757483,Advanced Product
7408,Copper Wire,2025,,Brazil,1225097,2.8,147.8012,828881.6328960793,Advanced Product
7408,Copper Wire,2015,,Chile,3063006,0.12,108.6937,2818016.1315697227,Advanced Product
7408,Copper Wire,2016,,Chile,727894,1.26,110.0632,661341.8472295917,Advanced Product
7408,Copper Wire,2017,,Chile,6304967,2.13,112.4076,5609021.987837122,Advanced Product
7408,Copper Wire,2018,,Chile,20959,2.44,115.1503,18201.428915078814,Advanced Product
7408,Copper Wire,2021,,Chile,1046550,4.7,124.2543,842264.6137799658,Advanced Product
7408,Copper Wire,2022,,Chile,1069184,8.0,134.1947,796740.8548921826,Advanced Product
