"Lithium, Cobalt, Sliver"
"Current date: 04/02/2026 11:41 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"2525 Mica, Including Splittings; Mica Waste","South/Central America","2015","392,130"
"2525 Mica, Including Splittings; Mica Waste","South/Central America","2016","707,576"
"2525 Mica, Including Splittings; Mica Waste","South/Central America","2017","924,735"
"2525 Mica, Including Splittings; Mica Waste","South/Central America","2018","975,203"
"2525 Mica, Including Splittings; Mica Waste","South/Central America","2019","555,552"
"2525 Mica, Including Splittings; Mica Waste","South/Central America","2020","644,828"
"2525 Mica, Including Splittings; Mica Waste","South/Central America","2021","708,158"
"2525 Mica, Including Splittings; Mica Waste","South/Central America","2022","1,231,229"
"2525 Mica, Including Splittings; Mica Waste","South/Central America","2023","1,061,921"
"2525 Mica, Including Splittings; Mica Waste","South/Central America","2024","838,321"
"2525 Mica, Including Splittings; Mica Waste","South/Central America","2025","138,421"
"2525 Mica, Including Splittings; Mica Waste","South America","2015","392,130"
"2525 Mica, Including Splittings; Mica Waste","South America","2016","696,840"
"2525 Mica, Including Splittings; Mica Waste","South America","2017","924,735"
"2525 Mica, Including Splittings; Mica Waste","South America","2018","975,203"
"2525 Mica, Including Splittings; Mica Waste","South America","2019","555,552"
"2525 Mica, Including Splittings; Mica Waste","South America","2020","644,828"
"2525 Mica, Including Splittings; Mica Waste","South America","2021","708,158"
"2525 Mica, Including Splittings; Mica Waste","South America","2022","1,231,229"
"2525 Mica, Including Splittings; Mica Waste","South America","2023","1,061,921"
"2525 Mica, Including Splittings; Mica Waste","South America","2024","838,321"
"2525 Mica, Including Splittings; Mica Waste","South America","2025","138,421"
"2525 Mica, Including Splittings; Mica Waste","Brazil","2015","392,130"
"2525 Mica, Including Splittings; Mica Waste","Brazil","2016","696,840"
"2525 Mica, Including Splittings; Mica Waste","Brazil","2017","924,735"
"2525 Mica, Including Splittings; Mica Waste","Brazil","2018","950,971"
"2525 Mica, Including Splittings; Mica Waste","Brazil","2019","542,578"
"2525 Mica, Including Splittings; Mica Waste","Brazil","2020","611,860"
"2525 Mica, Including Splittings; Mica Waste","Brazil","2021","617,806"
"2525 Mica, Including Splittings; Mica Waste","Brazil","2022","1,153,901"
"2525 Mica, Including Splittings; Mica Waste","Brazil","2023","1,029,610"
"2525 Mica, Including Splittings; Mica Waste","Brazil","2024","838,321"
"2525 Mica, Including Splittings; Mica Waste","Brazil","2025","138,421"
"2525 Mica, Including Splittings; Mica Waste","Colombia","2018","24,232"
"2525 Mica, Including Splittings; Mica Waste","Colombia","2019","12,974"
"2525 Mica, Including Splittings; Mica Waste","Colombia","2020","32,968"
"2525 Mica, Including Splittings; Mica Waste","Colombia","2021","90,352"
"2525 Mica, Including Splittings; Mica Waste","Colombia","2022","77,328"
"2525 Mica, Including Splittings; Mica Waste","Colombia","2023","32,311"
"2616 Precious Metal Ores And Concentrates","South/Central America","2016","3,797"
"2616 Precious Metal Ores And Concentrates","South/Central America","2017","64,493"
"2616 Precious Metal Ores And Concentrates","South/Central America","2019","14,858"
"2616 Precious Metal Ores And Concentrates","South/Central America","2023","442,041"
"2616 Precious Metal Ores And Concentrates","South/Central America","2025","2,794"
"2616 Precious Metal Ores And Concentrates","South America","2017","64,493"
"2616 Precious Metal Ores And Concentrates","South America","2023","442,041"
"2616 Precious Metal Ores And Concentrates","South America","2025","2,794"
"2616 Precious Metal Ores And Concentrates","Chile","2025","2,794"
"2616 Precious Metal Ores And Concentrates","Colombia","2023","442,041"
"2616 Precious Metal Ores And Concentrates","Ecuador","2017","64,493"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","South/Central America","2018","376,380"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","South/Central America","2021","1,344,990"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","South/Central America","2022","157,200"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","South America","2018","376,380"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","South America","2021","1,344,990"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","South America","2022","157,200"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","Brazil","2018","376,380"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","Brazil","2021","1,344,990"
"2822 Cobalt Oxide & Hydroxide; Commercial Cobalt Oxides","Brazil","2022","157,200"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South/Central America","2015","63,505,701"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South/Central America","2016","68,149,210"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South/Central America","2017","80,844,651"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South/Central America","2018","199,149,986"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South/Central America","2019","148,970,797"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South/Central America","2020","89,300,234"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South/Central America","2021","143,251,168"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South/Central America","2022","194,530,969"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South/Central America","2023","304,805,639"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South/Central America","2024","209,062,067"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South/Central America","2025","174,025,795"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South America","2015","63,500,066"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South America","2016","68,145,851"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South America","2017","80,834,667"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South America","2018","199,119,314"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South America","2019","148,970,797"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South America","2020","89,300,234"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South America","2021","143,238,112"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South America","2022","194,530,969"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South America","2023","304,765,685"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South America","2024","209,017,479"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","South America","2025","174,025,795"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Argentina","2015","19,740"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Argentina","2025","61,501"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Bolivia","2015","12,516,044"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Bolivia","2016","5,652,240"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Bolivia","2017","8,626,280"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Bolivia","2018","9,242,482"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Bolivia","2019","6,903,479"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Bolivia","2020","4,678,302"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Bolivia","2021","7,544,202"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Bolivia","2022","13,199,018"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Bolivia","2023","11,392,397"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Bolivia","2024","16,954,078"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Bolivia","2025","62,220,208"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Brazil","2015","30,914,877"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Brazil","2016","27,689,284"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Brazil","2017","36,461,092"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Brazil","2018","129,471,779"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Brazil","2019","89,526,235"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Brazil","2020","35,625,656"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Brazil","2021","48,643,154"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Brazil","2022","63,064,148"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Brazil","2023","76,423,775"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Brazil","2024","65,582,017"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Brazil","2025","40,897,462"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Chile","2015","19,242,435"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Chile","2016","34,219,391"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Chile","2017","35,086,195"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Chile","2018","59,530,055"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Chile","2019","51,726,774"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Chile","2020","48,627,378"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Chile","2021","86,488,578"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Chile","2022","117,169,573"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Chile","2023","216,151,619"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Chile","2024","125,944,339"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Chile","2025","67,688,339"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Peru","2015","806,970"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Peru","2016","584,936"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Peru","2017","661,100"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Peru","2018","874,998"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Peru","2019","814,309"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Peru","2020","368,898"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Peru","2021","562,178"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Peru","2022","1,098,230"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Peru","2023","797,894"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Peru","2024","537,045"
"2825 Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc","Peru","2025","3,158,285"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South/Central America","2015","5,696,079"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South/Central America","2016","13,664,554"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South/Central America","2017","17,966,814"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South/Central America","2018","15,518,068"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South/Central America","2019","19,533,519"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South/Central America","2020","3,762,089"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South/Central America","2021","24,299,343"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South/Central America","2022","24,800,065"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South/Central America","2023","43,588,061"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South/Central America","2024","32,789,148"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South/Central America","2025","19,790,140"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South America","2015","5,696,079"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South America","2016","13,664,554"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South America","2017","17,966,814"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South America","2018","15,518,068"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South America","2019","19,533,519"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South America","2020","3,762,089"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South America","2021","24,299,343"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South America","2022","24,800,065"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South America","2023","43,588,061"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South America","2024","32,789,148"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","South America","2025","19,790,140"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","Argentina","2015","2,435"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","Argentina","2016","134,273"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","Brazil","2016","10,332"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","Brazil","2017","99,400"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","Brazil","2018","279,000"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","Brazil","2019","2,084"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","Brazil","2020","335,888"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","Brazil","2021","975,121"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","Brazil","2022","1,401,143"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","Brazil","2023","1,916,963"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","Brazil","2024","1,665,165"
"2841 Salts Of Oxometallic Or Peroxometallic Acids","Brazil","2025","488,287"
